example_id                                                                   | status | run_time        |
./spec/models/admin_user_spec.rb[1:18:3]                                     | passed | 0.04229 seconds |
./spec/models/admin_user_spec.rb[1:19:1:1]                                   | passed | 0.00413 seconds |
./spec/models/admin_user_spec.rb[1:19:2:1]                                   | passed | 0.00499 seconds |
./spec/models/admin_user_spec.rb[1:19:3:1]                                   | passed | 0.01727 seconds |
./spec/models/admin_user_spec.rb[1:20:1]                                     | passed | 0.01258 seconds |
./spec/models/admin_user_spec.rb[1:21:1:1]                                   | passed | 0.10619 seconds |
./spec/models/admin_user_spec.rb[1:21:2:1]                                   | passed | 0.07082 seconds |
./spec/models/admin_user_spec.rb[1:22:1:1]                                   | passed | 0.10912 seconds |
./spec/models/admin_user_spec.rb[1:22:2:1]                                   | passed | 0.09022 seconds |
./spec/models/admin_user_spec.rb[1:23:1]                                     | passed | 0.09754 seconds |
./spec/models/admin_user_spec.rb[1:24:1:1]                                   | passed | 0.03867 seconds |
./spec/models/admin_user_spec.rb[1:24:1:2]                                   | passed | 0.03465 seconds |
./spec/models/admin_user_spec.rb[1:24:2:1]                                   | passed | 0.09623 seconds |
./spec/models/admin_user_spec.rb[1:24:3:1]                                   | passed | 0.16246 seconds |
./spec/models/announcement_spec.rb[1:1]                                      | passed | 0.00355 seconds |
./spec/models/announcement_spec.rb[1:2]                                      | passed | 0.00908 seconds |
./spec/models/announcement_spec.rb[1:3]                                      | passed | 0.00426 seconds |
./spec/models/announcement_spec.rb[1:4]                                      | passed | 0.00496 seconds |
./spec/models/announcement_spec.rb[1:5]                                      | passed | 0.05695 seconds |
./spec/models/announcement_spec.rb[1:6]                                      | passed | 0.00433 seconds |
./spec/models/announcement_spec.rb[1:7]                                      | passed | 0.00828 seconds |
./spec/models/announcement_spec.rb[1:8]                                      | passed | 0.00856 seconds |
./spec/models/announcement_spec.rb[1:9]                                      | passed | 0.00292 seconds |
./spec/models/announcement_spec.rb[1:10:1]                                   | passed | 0.11421 seconds |
./spec/models/announcement_spec.rb[1:11:1]                                   | passed | 0.02358 seconds |
./spec/models/announcement_spec.rb[1:12:1]                                   | passed | 0.06674 seconds |
./spec/models/announcement_spec.rb[1:13:1]                                   | passed | 0.10996 seconds |
./spec/models/announcement_spec.rb[1:14:1:1]                                 | passed | 0.05279 seconds |
./spec/models/announcement_spec.rb[1:14:2:1]                                 | passed | 0.06441 seconds |
./spec/models/announcement_spec.rb[1:14:3:1]                                 | passed | 0.0202 seconds  |
./spec/models/announcement_spec.rb[1:15:1:1]                                 | passed | 0.00569 seconds |
./spec/models/announcement_spec.rb[1:15:2:1]                                 | passed | 0.00486 seconds |
./spec/models/announcement_spec.rb[1:16:1:1]                                 | passed | 0.00472 seconds |
./spec/models/announcement_spec.rb[1:16:2:1]                                 | passed | 0.0047 seconds  |
./spec/models/content_spec.rb[1:1]                                           | passed | 0.00545 seconds |
./spec/models/content_spec.rb[1:2]                                           | passed | 0.00921 seconds |
./spec/models/course_spec.rb[1:1]                                            | passed | 0.0383 seconds  |
./spec/models/course_spec.rb[1:2]                                            | passed | 0.02643 seconds |
./spec/models/course_spec.rb[1:3]                                            | passed | 0.13172 seconds |
./spec/models/course_spec.rb[1:4]                                            | passed | 0.01182 seconds |
./spec/models/course_spec.rb[1:5:1]                                          | passed | 0.41811 seconds |
./spec/models/course_spec.rb[1:6:1]                                          | passed | 0.12517 seconds |
./spec/models/course_spec.rb[1:7:1:1]                                        | passed | 0.20489 seconds |
./spec/models/course_spec.rb[1:7:2:1]                                        | passed | 0.38777 seconds |
